fuse,lc4032ze\oe_mux\glb0\mc10\goe0.jed,lc4032ze\oe_mux\glb0\mc10\goe1.jed,lc4032ze\oe_mux\glb0\mc10\on.jed,lc4032ze\oe_mux\glb0\mc10\off.jed,lc4032ze\oe_mux\glb0\mc10\pt.jed,lc4032ze\oe_mux\glb0\mc10\npt.jed
92:143,0,1,0,1,0,1
93:143,1,1,1,1,0,0
94:143,0,0,1,1,1,1
