fuse,lc4032ze\oe_mux\glb0\mc4\off.jed,lc4032ze\oe_mux\glb0\mc4\on.jed,lc4032ze\oe_mux\glb0\mc4\npt.jed,lc4032ze\oe_mux\glb0\mc4\pt.jed,lc4032ze\oe_mux\glb0\mc4\goe0.jed,lc4032ze\oe_mux\glb0\mc4\goe1.jed
92:113,1,0,1,0,0,1
93:113,1,1,0,0,1,1
94:113,1,1,1,1,0,0
