fuse,lc4032ze\oe_mux\glb0\mc9\goe0.jed,lc4032ze\oe_mux\glb0\mc9\goe1.jed,lc4032ze\oe_mux\glb0\mc9\on.jed,lc4032ze\oe_mux\glb0\mc9\off.jed,lc4032ze\oe_mux\glb0\mc9\pt.jed,lc4032ze\oe_mux\glb0\mc9\npt.jed
92:134,0,1,0,1,0,1
93:134,1,1,1,1,0,0
94:134,0,0,1,1,1,1
