fuse,lc4032ze\oe_mux\glb0\mc0\on.jed,lc4032ze\oe_mux\glb0\mc0\off.jed,lc4032ze\oe_mux\glb0\mc0\pt.jed,lc4032ze\oe_mux\glb0\mc0\npt.jed
92:94,0,1,0,1
93:94,1,1,0,0
