fuse,lc4032ze\oe_mux\glb0\mc7\off.jed,lc4032ze\oe_mux\glb0\mc7\on.jed,lc4032ze\oe_mux\glb0\mc7\npt.jed,lc4032ze\oe_mux\glb0\mc7\pt.jed,lc4032ze\oe_mux\glb0\mc7\goe0.jed,lc4032ze\oe_mux\glb0\mc7\goe1.jed
92:124,1,0,1,0,0,1
93:124,1,1,0,0,1,1
94:124,1,1,1,1,0,0
