fuse,lc4032ze\oe_mux\glb0\mc8\off.jed,lc4032ze\oe_mux\glb0\mc8\on.jed,lc4032ze\oe_mux\glb0\mc8\npt.jed,lc4032ze\oe_mux\glb0\mc8\pt.jed,lc4032ze\oe_mux\glb0\mc8\goe0.jed,lc4032ze\oe_mux\glb0\mc8\goe1.jed
92:133,1,0,1,0,0,1
93:133,1,1,0,0,1,1
94:133,1,1,1,1,0,0
