fuse,lc4032ze\oe_mux\glb0\mc13\off.jed,lc4032ze\oe_mux\glb0\mc13\on.jed,lc4032ze\oe_mux\glb0\mc13\npt.jed,lc4032ze\oe_mux\glb0\mc13\pt.jed,lc4032ze\oe_mux\glb0\mc13\goe0.jed,lc4032ze\oe_mux\glb0\mc13\goe1.jed
92:154,1,0,1,0,0,1
93:154,1,1,0,0,1,1
94:154,1,1,1,1,0,0
