fuse,lc4032ze\oe_mux\glb0\mc14\off.jed,lc4032ze\oe_mux\glb0\mc14\on.jed,lc4032ze\oe_mux\glb0\mc14\npt.jed,lc4032ze\oe_mux\glb0\mc14\pt.jed,lc4032ze\oe_mux\glb0\mc14\goe0.jed,lc4032ze\oe_mux\glb0\mc14\goe1.jed,lc4032ze\oe_mux\glb0\mc14\goe2.jed,lc4032ze\oe_mux\glb0\mc14\goe3.jed
92:163,1,0,1,0,0,1,0,1
93:163,1,1,0,0,1,1,0,0
94:163,1,1,1,1,0,0,0,0
