fuse,lc4032ze\oe_mux\glb0\mc2\off.jed,lc4032ze\oe_mux\glb0\mc2\on.jed,lc4032ze\oe_mux\glb0\mc2\npt.jed,lc4032ze\oe_mux\glb0\mc2\pt.jed,lc4032ze\oe_mux\glb0\mc2\goe0.jed,lc4032ze\oe_mux\glb0\mc2\goe1.jed
92:103,1,0,1,0,0,1
93:103,1,1,0,0,1,1
94:103,1,1,1,1,0,0
