fuse,lc4032ze\oe_mux\glb0\mc1\off.jed,lc4032ze\oe_mux\glb0\mc1\on.jed,lc4032ze\oe_mux\glb0\mc1\npt.jed,lc4032ze\oe_mux\glb0\mc1\pt.jed,lc4032ze\oe_mux\glb0\mc1\goe0.jed,lc4032ze\oe_mux\glb0\mc1\goe1.jed
92:94,1,0,1,0,0,1
93:94,1,1,0,0,1,1
94:94,1,1,1,1,0,0
