fuse,lc4032ze\ff_type\glb1\mc0\D.jed,lc4032ze\ff_type\glb1\mc0\T.jed,lc4032ze\ff_type\glb1\mc0\latch.jed,lc4032ze\ff_type\glb1\mc0\none.jed
79:7,1,0,1,0
80:7,1,1,0,0
