fuse,lc4032ze\ff_type\glb1\mc13\D.jed,lc4032ze\ff_type\glb1\mc13\T.jed,lc4032ze\ff_type\glb1\mc13\latch.jed,lc4032ze\ff_type\glb1\mc13\none.jed
79:68,1,0,1,0
80:68,1,1,0,0
