fuse,lc4032ze\ff_type\glb1\mc1\D.jed,lc4032ze\ff_type\glb1\mc1\T.jed,lc4032ze\ff_type\glb1\mc1\latch.jed,lc4032ze\ff_type\glb1\mc1\none.jed
79:8,1,0,1,0
80:8,1,1,0,0
