fuse,lc4032ze\ff_type\glb1\mc7\D.jed,lc4032ze\ff_type\glb1\mc7\T.jed,lc4032ze\ff_type\glb1\mc7\latch.jed,lc4032ze\ff_type\glb1\mc7\none.jed
79:38,1,0,1,0
80:38,1,1,0,0
