fuse,lc4032ze\ff_type\glb1\mc8\D.jed,lc4032ze\ff_type\glb1\mc8\T.jed,lc4032ze\ff_type\glb1\mc8\latch.jed,lc4032ze\ff_type\glb1\mc8\none.jed
79:47,1,0,1,0
80:47,1,1,0,0
