fuse,lc4032ze\ff_type\glb1\mc9\D.jed,lc4032ze\ff_type\glb1\mc9\T.jed,lc4032ze\ff_type\glb1\mc9\latch.jed,lc4032ze\ff_type\glb1\mc9\none.jed
79:48,1,0,1,0
80:48,1,1,0,0
