fuse,lc4032ze\ff_type\glb1\mc5\D.jed,lc4032ze\ff_type\glb1\mc5\T.jed,lc4032ze\ff_type\glb1\mc5\latch.jed,lc4032ze\ff_type\glb1\mc5\none.jed
79:28,1,0,1,0
80:28,1,1,0,0
