fuse,lc4032ze\ff_type\glb1\mc12\D.jed,lc4032ze\ff_type\glb1\mc12\T.jed,lc4032ze\ff_type\glb1\mc12\latch.jed,lc4032ze\ff_type\glb1\mc12\none.jed
79:67,1,0,1,0
80:67,1,1,0,0
