fuse,lc4032ze\ff_type\glb1\mc11\D.jed,lc4032ze\ff_type\glb1\mc11\T.jed,lc4032ze\ff_type\glb1\mc11\latch.jed,lc4032ze\ff_type\glb1\mc11\none.jed
79:58,1,0,1,0
80:58,1,1,0,0
