fuse,lc4032ze\ff_type\glb1\mc2\D.jed,lc4032ze\ff_type\glb1\mc2\T.jed,lc4032ze\ff_type\glb1\mc2\latch.jed,lc4032ze\ff_type\glb1\mc2\none.jed
79:17,1,0,1,0
80:17,1,1,0,0
