fuse,lc4032ze\ff_type\glb1\mc14\D.jed,lc4032ze\ff_type\glb1\mc14\T.jed,lc4032ze\ff_type\glb1\mc14\latch.jed,lc4032ze\ff_type\glb1\mc14\none.jed
79:77,1,0,1,0
80:77,1,1,0,0
