fuse,lc4032ze\grp\gi5\glb1\fb_A4.jed,lc4032ze\grp\gi5\glb1\fb_A14.jed,lc4032ze\grp\gi5\glb1\fb_B3.jed,lc4032ze\grp\gi5\glb1\pin_18.jed,lc4032ze\grp\gi5\glb1\pin_38.jed,lc4032ze\grp\gi5\glb1\pin_4.jed
10:0,1,1,1,0,1,1
10:1,1,0,1,1,1,1
10:2,1,1,0,1,1,1
11:0,1,1,1,1,0,1
11:2,0,1,1,1,1,1
