fuse,lc4032ze\ce_mux\glb1\mc4\always.jed,lc4032ze\ce_mux\glb1\mc4\npt.jed,lc4032ze\ce_mux\glb1\mc4\pt.jed,lc4032ze\ce_mux\glb1\mc4\shared.jed
86:27,1,1,0,0
87:27,1,0,0,1
