fuse,lc4032ze\ce_mux\glb1\mc2\always.jed,lc4032ze\ce_mux\glb1\mc2\npt.jed,lc4032ze\ce_mux\glb1\mc2\pt.jed,lc4032ze\ce_mux\glb1\mc2\shared.jed
86:17,1,1,0,0
87:17,1,0,0,1
