fuse,lc4032ze\ce_mux\glb1\mc15\always.jed,lc4032ze\ce_mux\glb1\mc15\npt.jed,lc4032ze\ce_mux\glb1\mc15\pt.jed,lc4032ze\ce_mux\glb1\mc15\shared.jed
86:78,1,1,0,0
87:78,1,0,0,1
