fuse,lc4032ze\ce_mux\glb1\mc5\always.jed,lc4032ze\ce_mux\glb1\mc5\npt.jed,lc4032ze\ce_mux\glb1\mc5\pt.jed,lc4032ze\ce_mux\glb1\mc5\shared.jed
86:28,1,1,0,0
87:28,1,0,0,1
