fuse,lc4032ze\ce_mux\glb1\mc3\always.jed,lc4032ze\ce_mux\glb1\mc3\npt.jed,lc4032ze\ce_mux\glb1\mc3\pt.jed,lc4032ze\ce_mux\glb1\mc3\shared.jed
86:18,1,1,0,0
87:18,1,0,0,1
