fuse,lc4032ze\ce_mux\glb1\mc8\always.jed,lc4032ze\ce_mux\glb1\mc8\npt.jed,lc4032ze\ce_mux\glb1\mc8\pt.jed,lc4032ze\ce_mux\glb1\mc8\shared.jed
86:47,1,1,0,0
87:47,1,0,0,1
