fuse,lc4032ze\ce_mux\glb1\mc13\always.jed,lc4032ze\ce_mux\glb1\mc13\npt.jed,lc4032ze\ce_mux\glb1\mc13\pt.jed,lc4032ze\ce_mux\glb1\mc13\shared.jed
86:68,1,1,0,0
87:68,1,0,0,1
