pin,type,bank,glb,mc,goe,clk
1,tdi,,,,,
2,io,0,0,5,,
3,io,0,0,6,,
4,io,0,0,7,,
5,gnd,,,,,
6,vcco_bank_0,,,,,
7,io,0,0,8,,
8,io,0,0,9,,
9,io,0,0,10,,
10,tck,,,,,
11,vcc_core,,,,,
12,gnd,,,,,
13,io,0,0,12,,
14,io,0,0,13,,
15,io,0,0,14,,
16,io,0,0,15,,
17,clk,1,1,,,2
18,io,1,1,0,,
19,io,1,1,1,,
20,io,1,1,2,,
21,io,1,1,3,,
22,io,1,1,4,,
23,tms,,,,,
24,io,1,1,5,,
25,io,1,1,6,,
26,io,1,1,7,,
27,gnd,,,,,
28,vcco_bank_1,,,,,
29,io,1,1,8,,
30,io,1,1,9,,
31,io,1,1,10,,
32,tdo,,,,,
33,vcc_core,,,,,
34,gnd,,,,,
35,io,1,1,12,,
36,io,1,1,13,,
37,io,1,1,14,,
38,io,1,1,15,1,
39,clk,0,0,,,0
40,io,0,0,0,0,
41,io,0,0,1,,
42,io,0,0,2,,
43,io,0,0,3,,
44,io,0,0,4,,
