fuse,lc4032ze\grp\gi14\glb0\fb_A0.jed,lc4032ze\grp\gi14\glb0\fb_B9.jed,lc4032ze\grp\gi14\glb0\pin_10.jed,lc4032ze\grp\gi14\glb0\fb_A8.jed,lc4032ze\grp\gi14\glb0\pin_43.jed,lc4032ze\grp\gi14\glb0\pin_8.jed
29:87,0,1,1,1,1,1
29:88,1,0,1,1,1,1
