fuse,lc4032ze\grp\gi14\glb1\fb_A0.jed,lc4032ze\grp\gi14\glb1\fb_B9.jed,lc4032ze\grp\gi14\glb1\pin_10.jed,lc4032ze\grp\gi14\glb1\fb_A8.jed,lc4032ze\grp\gi14\glb1\pin_43.jed,lc4032ze\grp\gi14\glb1\pin_8.jed
29:1,0,1,1,1,1,1
29:2,1,0,1,1,1,1
