pin,type,bank,glb,mc,oe,clk
1,tdi,,,,,
2,io,0,0,10,,
3,io,0,0,12,,
4,io,0,0,14,,
5,gndo,0,,,,
6,vcco,0,,,,
7,io,0,1,0,,
8,io,0,1,2,,
9,io,0,1,4,,
10,io,0,1,6,,
11,tck,,,,,
12,vcc_core,,,,,
13,gnd,,,,,
14,io,0,1,8,,
15,io,0,1,10,,
16,io,0,1,12,,
17,io,0,1,14,,
18,clock,0,1,,,1
19,clock,1,2,,,2
20,io,1,2,0,,
21,io,1,2,2,,
22,io,1,2,4,,
23,io,1,2,6,,
24,io,1,2,8,,
25,tms,,,,,
26,io,1,2,10,,
27,io,1,2,12,,
28,io,1,2,14,,
29,gndo,1,,,,
30,vcco,1,,,,
31,io,1,3,0,,
32,io,1,3,2,,
33,io,1,3,4,,
34,io,1,3,6,,
35,tdo,,,,,
36,vcc_core,,,,,
37,gnd,,,,,
38,io,1,3,8,,
39,io,1,3,10,,
40,io,1,3,12,,
41,io,1,3,14,1,
42,clock,1,3,,,3
43,clock,0,0,,,0
44,io,0,0,0,0,
45,io,0,0,2,,
46,io,0,0,4,,
47,io,0,0,6,,
48,io,0,0,8,,
