fuse,lc4032ze\ff_type\glb0\mc5\D.jed,lc4032ze\ff_type\glb0\mc5\T.jed,lc4032ze\ff_type\glb0\mc5\latch.jed,lc4032ze\ff_type\glb0\mc5\none.jed
79:114,1,0,1,0
80:114,1,1,0,0
