fuse,lc4032ze\ff_type\glb0\mc6\D.jed,lc4032ze\ff_type\glb0\mc6\T.jed,lc4032ze\ff_type\glb0\mc6\latch.jed,lc4032ze\ff_type\glb0\mc6\none.jed
79:123,1,0,1,0
80:123,1,1,0,0
