fuse,lc4032ze\ff_type\glb0\mc7\D.jed,lc4032ze\ff_type\glb0\mc7\T.jed,lc4032ze\ff_type\glb0\mc7\latch.jed,lc4032ze\ff_type\glb0\mc7\none.jed
79:124,1,0,1,0
80:124,1,1,0,0
