fuse,lc4032ze\ff_type\glb0\mc10\D.jed,lc4032ze\ff_type\glb0\mc10\T.jed,lc4032ze\ff_type\glb0\mc10\latch.jed,lc4032ze\ff_type\glb0\mc10\none.jed
79:143,1,0,1,0
80:143,1,1,0,0
