fuse,lc4032ze\ff_type\glb0\mc14\D.jed,lc4032ze\ff_type\glb0\mc14\T.jed,lc4032ze\ff_type\glb0\mc14\latch.jed,lc4032ze\ff_type\glb0\mc14\none.jed
79:163,1,0,1,0
80:163,1,1,0,0
