fuse,lc4032ze\ff_type\glb0\mc9\D.jed,lc4032ze\ff_type\glb0\mc9\T.jed,lc4032ze\ff_type\glb0\mc9\latch.jed,lc4032ze\ff_type\glb0\mc9\none.jed
79:134,1,0,1,0
80:134,1,1,0,0
