fuse,lc4032ze\ff_type\glb0\mc8\D.jed,lc4032ze\ff_type\glb0\mc8\T.jed,lc4032ze\ff_type\glb0\mc8\latch.jed,lc4032ze\ff_type\glb0\mc8\none.jed
79:133,1,0,1,0
80:133,1,1,0,0
