fuse,lc4032ze\ff_type\glb0\mc12\D.jed,lc4032ze\ff_type\glb0\mc12\T.jed,lc4032ze\ff_type\glb0\mc12\latch.jed,lc4032ze\ff_type\glb0\mc12\none.jed
79:153,1,0,1,0
80:153,1,1,0,0
