fuse,lc4032ze\ff_type\glb0\mc11\D.jed,lc4032ze\ff_type\glb0\mc11\T.jed,lc4032ze\ff_type\glb0\mc11\latch.jed,lc4032ze\ff_type\glb0\mc11\none.jed
79:144,1,0,1,0
80:144,1,1,0,0
