fuse,lc4032ze\ff_type\glb0\mc3\D.jed,lc4032ze\ff_type\glb0\mc3\T.jed,lc4032ze\ff_type\glb0\mc3\latch.jed,lc4032ze\ff_type\glb0\mc3\none.jed
79:104,1,0,1,0
80:104,1,1,0,0
