fuse,lc4032ze\ff_type\glb0\mc0\D.jed,lc4032ze\ff_type\glb0\mc0\T.jed,lc4032ze\ff_type\glb0\mc0\latch.jed,lc4032ze\ff_type\glb0\mc0\none.jed
79:93,1,0,1,0
80:93,1,1,0,0
