fuse,lc4032ze\grp\gi9\glb1\fb_B11.jed,lc4032ze\grp\gi9\glb1\pin_9.jed,lc4032ze\grp\gi9\glb1\pin_17.jed,lc4032ze\grp\gi9\glb1\pin_47.jed,lc4032ze\grp\gi9\glb1\fb_B15.jed,lc4032ze\grp\gi9\glb1\fb_A9.jed
18:0,1,1,0,1,1,1
18:1,1,0,1,1,1,1
19:0,1,1,1,0,1,1
19:2,0,1,1,1,1,1
