fuse,lc4032ze\bclk01\glb1\passthru.jed,lc4032ze\bclk01\glb1\invert_both.jed,lc4032ze\bclk01\glb1\clk0_comp.jed,lc4032ze\bclk01\glb1\clk1_comp.jed
79:3,1,0,1,0
80:3,1,0,0,1
