fuse,lc4032ze\bclk01\glb0\passthru.jed,lc4032ze\bclk01\glb0\invert_both.jed,lc4032ze\bclk01\glb0\clk0_comp.jed,lc4032ze\bclk01\glb0\clk1_comp.jed
79:89,1,0,1,0
80:89,1,0,0,1
