pin,type,bank,glb,mc,goe,clk
C3,io,0,2,12,,
C2,io,0,2,10,,
D1,io,0,2,8,,
D3,io,0,2,6,,
D2,io,0,2,4,,
E1,io,0,2,2,,
E3,io,0,3,12,,
F2,io,0,3,10,,
F1,io,0,3,8,,
F3,io,0,3,6,,
G1,io,0,3,4,,
G2,io,0,3,2,,
H2,io,0,4,2,,
H1,io,0,4,4,,
H3,io,0,4,6,,
J1,io,0,4,8,,
J2,io,0,4,10,,
J3,io,0,4,12,,
K1,io,0,5,2,,
K3,io,0,5,4,,
L2,io,0,5,6,,
L1,io,0,5,8,,
L3,io,0,5,10,,
M1,io,0,5,12,,
N2,io,0,6,12,,
P3,io,0,6,10,,
M3,io,0,6,8,,
N3,io,0,6,6,,
P4,io,0,6,4,,
M4,io,0,6,2,,
N5,io,0,7,12,,
M5,io,0,7,10,,
N6,io,0,7,8,,
P6,io,0,7,6,,
M6,io,0,7,4,,
P7,io,0,7,2,,
N7,clk,0,7,,,1
M7,clk,1,8,,,2
P8,in,1,8,,,
M8,io,1,8,2,,
P9,io,1,8,4,,
N9,io,1,8,6,,
M9,io,1,8,8,,
N10,io,1,8,10,,
P10,io,1,8,12,,
P11,io,1,9,2,,
M11,io,1,9,4,,
P12,io,1,9,6,,
N12,io,1,9,8,,
P13,io,1,9,10,,
P14,io,1,9,12,,
M12,io,1,10,12,,
M13,io,1,10,10,,
L14,io,1,10,8,,
L12,io,1,10,6,,
L13,io,1,10,4,,
K14,io,1,10,2,,
K12,io,1,11,12,,
J13,io,1,11,10,,
J14,io,1,11,8,,
J12,io,1,11,6,,
H14,io,1,11,4,,
H13,io,1,11,2,,
G13,io,1,12,2,,
G14,io,1,12,4,,
G12,io,1,12,6,,
F14,io,1,12,8,,
F13,io,1,12,10,,
F12,io,1,12,12,,
E14,io,1,13,2,,
E12,io,1,13,4,,
D13,io,1,13,6,,
D14,io,1,13,8,,
D12,io,1,13,10,,
C14,io,1,13,12,,
B13,io,1,14,12,,
A12,io,1,14,10,,
C12,io,1,14,8,,
B12,io,1,14,6,,
A11,io,1,14,4,,
C11,io,1,14,2,,
B10,io,1,15,12,,
C10,io,1,15,10,,
B9,io,1,15,8,,
A9,io,1,15,6,,
C9,io,1,15,4,,
A8,io,1,15,2,1,
B8,clk,1,15,,,3
C8,clk,0,0,,,0
A7,in,0,0,,,
C7,io,0,0,2,0,
A6,io,0,0,4,,
B6,io,0,0,6,,
C6,io,0,0,8,,
B5,io,0,0,10,,
A5,io,0,0,12,,
A4,io,0,1,2,,
C4,io,0,1,4,,
A3,io,0,1,6,,
B3,io,0,1,8,,
A2,io,0,1,10,,
A1,io,0,1,12,,
N1,tck,,,,,
B2,tdi,,,,,
B14,tdo,,,,,
N13,tms,,,,,
A13,gnd,,,,,
B1,gnd,,,,,
N14,gnd,,,,,
P2,gnd,,,,,
B4,gnd,,,,,
E2,gnd,,,,,
K2,gnd,,,,,
N4,gnd,,,,,
B11,gnd,,,,,
E13,gnd,,,,,
K13,gnd,,,,,
N11,gnd,,,,,
A14,vcc_core,,,,,
B7,vcc_core,,,,,
N8,vcc_core,,,,,
P1,vcc_core,,,,,
C1,vcco_bank_0,,,,,
C5,vcco_bank_0,,,,,
G3,vcco_bank_0,,,,,
M2,vcco_bank_0,,,,,
P5,vcco_bank_0,,,,,
A10,vcco_bank_1,,,,,
C13,vcco_bank_1,,,,,
H12,vcco_bank_1,,,,,
M10,vcco_bank_1,,,,,
M14,vcco_bank_1,,,,,
