fuse,lc4032ze\pull\input\CLK1\OFF.jed,lc4032ze\pull\input\CLK1\UP.jed,lc4032ze\pull\input\CLK1\DOWN.jed,lc4032ze\pull\input\CLK1\HOLD.jed
85:170,0,0,1,1
86:170,1,0,1,0
