fuse,lc4032ze\pull\input\CLK2\OFF.jed,lc4032ze\pull\input\CLK2\UP.jed,lc4032ze\pull\input\CLK2\DOWN.jed,lc4032ze\pull\input\CLK2\HOLD.jed
85:169,0,0,1,1
86:169,1,0,1,0
