fuse,lc4032ze\pull\input\CLK0\OFF.jed,lc4032ze\pull\input\CLK0\UP.jed,lc4032ze\pull\input\CLK0\DOWN.jed,lc4032ze\pull\input\CLK0\HOLD.jed
85:171,0,0,1,1
86:171,1,0,1,0
