fuse,lc4032ze\pull\input\CLK3\OFF.jed,lc4032ze\pull\input\CLK3\UP.jed,lc4032ze\pull\input\CLK3\DOWN.jed,lc4032ze\pull\input\CLK3\HOLD.jed
85:168,0,0,1,1
86:168,1,0,1,0
