pin,type,bank,glb,mc,oe,clk
J10,clock,0,0,,,0
U8,clock,0,3,,,1
M9,clock,1,4,,,2
C13,clock,1,7,,,3
K10,io,0,0,0,0,
A7,io,0,0,1,,
C7,io,0,0,2,,
H9,io,0,0,4,,
C6,io,0,0,5,,
A6,io,0,0,6,,
B6,io,0,0,8,,
H8,io,0,0,9,,
B3,io,0,0,10,,
C2,io,0,0,12,,
F2,io,0,0,13,,
F1,io,0,0,14,,
B8,io,0,1,0,,
F3,io,0,1,1,,
G1,io,0,1,2,,
C8,io,0,1,4,,
G3,io,0,1,5,,
H2,io,0,1,6,,
J8,io,0,1,8,,
H3,io,0,1,9,,
H1,io,0,1,10,,
A8,io,0,1,12,,
M1,io,0,1,13,,
M3,io,0,1,14,,
T2,io,0,2,0,,
L10,io,0,2,1,,
P2,io,0,2,2,,
R3,io,0,2,4,,
L8,io,0,2,5,,
P1,io,0,2,6,,
K9,io,0,2,8,,
P3,io,0,2,9,,
N1,io,0,2,10,,
K8,io,0,2,12,,
M2,io,0,2,13,,
N3,io,0,2,14,,
W7,io,0,3,0,,
U7,io,0,3,1,,
W6,io,0,3,2,,
W8,io,0,3,5,,
V6,io,0,3,6,,
V8,io,0,3,8,,
V4,io,0,3,9,,
U6,io,0,3,10,,
M8,io,0,3,12,,
U5,io,0,3,13,,
T4,io,0,3,14,,
M10,io,1,4,0,,
W12,io,1,4,1,,
U14,io,1,4,2,,
U13,io,1,4,4,,
P18,io,1,4,5,,
W13,io,1,4,6,,
W14,io,1,4,8,,
M11,io,1,4,9,,
V14,io,1,4,10,,
P17,io,1,4,12,,
V17,io,1,4,13,,
U18,io,1,4,14,,
U12,io,1,5,0,,
N17,io,1,5,1,,
P19,io,1,5,2,,
M12,io,1,5,4,,
M17,io,1,5,5,,
N19,io,1,5,6,,
V12,io,1,5,8,,
H17,io,1,5,9,,
M18,io,1,5,10,,
L12,io,1,5,12,,
M19,io,1,5,13,,
G17,io,1,5,14,,
F18,io,1,6,0,,
K11,io,1,6,1,,
F19,io,1,6,2,,
D18,io,1,6,4,,
J12,io,1,6,5,,
G19,io,1,6,6,,
H10,io,1,6,8,,
E17,io,1,6,9,,
H18,io,1,6,10,,
K12,io,1,6,12,,
H19,io,1,6,13,,
F17,io,1,6,14,,
A12,io,1,7,0,1,
C12,io,1,7,1,,
A13,io,1,7,2,,
H11,io,1,7,5,,
C14,io,1,7,6,,
B12,io,1,7,8,,
A14,io,1,7,9,,
C15,io,1,7,10,,
H12,io,1,7,12,,
B14,io,1,7,13,,
B16,io,1,7,14,,
D2,tck,,,,,
E3,tdi,,,,,
C5,tdo,,,,,
B4,tms,,,,,
U15,vcc_core,,,,,
U16,vcc_core,,,,,
U17,vcc_core,,,,,
T17,vcc_core,,,,,
R17,vcc_core,,,,,
C10,vcco,0,,,,
T10,vcco,0,,,,
K3,vcco,0,,,,
K4,vcco,0,,,,
K16,vcco,1,,,,
K17,vcco,1,,,,
D10,vcco,1,,,,
U10,vcco,1,,,,
B10,gnd,,,,,
V10,gnd,,,,,
K2,gnd,,,,,
K18,gnd,,,,,
C4,gnd,,,,,
C3,gnd,,,,,
D4,gnd,,,,,
D3,gnd,,,,,
G2,gnd,,,,,
N2,gnd,,,,,
V7,gnd,,,,,
V13,gnd,,,,,
T16,gnd,,,,,
T18,gnd,,,,,
V16,gnd,,,,,
N18,gnd,,,,,
G18,gnd,,,,,
B13,gnd,,,,,
B7,gnd,,,,,
T3,gnd,,,,,
U4,gnd,,,,,
C16,gnd,,,,,
D17,gnd,,,,,
J11,gnd,,,,,
L11,gnd,,,,,
L9,gnd,,,,,
J9,gnd,,,,,
B17,no_connect,,,,,
C17,no_connect,,,,,
C18,no_connect,,,,,
D16,no_connect,,,,,
U2,no_connect,,,,,
U3,no_connect,,,,,
V3,no_connect,,,,,
