fuse,lc4032ze\grp\gi4\glb1\fb_A7.jed,lc4032ze\grp\gi4\glb1\fb_B7.jed,lc4032ze\grp\gi4\glb1\pin_24.jed,lc4032ze\grp\gi4\glb1\pin_32.jed,lc4032ze\grp\gi4\glb1\pin_44.jed,lc4032ze\grp\gi4\glb1\fb_A15.jed
8:0,1,1,0,1,1,1
8:1,1,1,1,1,1,0
8:2,1,0,1,1,1,1
9:0,1,1,1,1,0,1
9:1,1,1,1,0,1,1
9:2,0,1,1,1,1,1
