fuse,lc4032ze\bclk23\glb1\passthru.jed,lc4032ze\bclk23\glb1\invert_both.jed,lc4032ze\bclk23\glb1\clk2_comp.jed,lc4032ze\bclk23\glb1\clk3_comp.jed
81:3,1,0,1,0
82:3,1,0,0,1
