fuse,lc4032ze\orm\glb1\mc14\self.jed,lc4032ze\orm\glb1\mc14\o1.jed,lc4032ze\orm\glb1\mc14\o2.jed,lc4032ze\orm\glb1\mc14\o3.jed,lc4032ze\orm\glb1\mc14\o4.jed,lc4032ze\orm\glb1\mc14\o5.jed,lc4032ze\orm\glb1\mc14\o6.jed,lc4032ze\orm\glb1\mc14\o7.jed
89:77,0,1,0,1,0,1,0,1
90:77,0,0,1,1,0,0,1,1
91:77,0,0,0,0,1,1,1,1
