fuse,lc4032ze\orm\glb1\mc11\self.jed,lc4032ze\orm\glb1\mc11\o1.jed,lc4032ze\orm\glb1\mc11\o2.jed,lc4032ze\orm\glb1\mc11\o3.jed,lc4032ze\orm\glb1\mc11\o4.jed,lc4032ze\orm\glb1\mc11\o5.jed,lc4032ze\orm\glb1\mc11\o6.jed,lc4032ze\orm\glb1\mc11\o7.jed
89:58,0,1,0,1,0,1,0,1
90:58,0,0,1,1,0,0,1,1
91:58,0,0,0,0,1,1,1,1
