fuse,lc4032ze\orm\glb1\mc1\self.jed,lc4032ze\orm\glb1\mc1\o1.jed,lc4032ze\orm\glb1\mc1\o2.jed,lc4032ze\orm\glb1\mc1\o3.jed,lc4032ze\orm\glb1\mc1\o4.jed,lc4032ze\orm\glb1\mc1\o5.jed,lc4032ze\orm\glb1\mc1\o6.jed,lc4032ze\orm\glb1\mc1\o7.jed
89:8,0,1,0,1,0,1,0,1
90:8,0,0,1,1,0,0,1,1
91:8,0,0,0,0,1,1,1,1
