fuse,lc4032ze\orm\glb1\mc12\self.jed,lc4032ze\orm\glb1\mc12\o1.jed,lc4032ze\orm\glb1\mc12\o2.jed,lc4032ze\orm\glb1\mc12\o3.jed,lc4032ze\orm\glb1\mc12\o4.jed,lc4032ze\orm\glb1\mc12\o5.jed,lc4032ze\orm\glb1\mc12\o6.jed,lc4032ze\orm\glb1\mc12\o7.jed
89:67,0,1,0,1,0,1,0,1
90:67,0,0,1,1,0,0,1,1
91:67,0,0,0,0,1,1,1,1
