fuse,lc4032ze\orm\glb1\mc3\self.jed,lc4032ze\orm\glb1\mc3\o1.jed,lc4032ze\orm\glb1\mc3\o2.jed,lc4032ze\orm\glb1\mc3\o3.jed,lc4032ze\orm\glb1\mc3\o4.jed,lc4032ze\orm\glb1\mc3\o5.jed,lc4032ze\orm\glb1\mc3\o6.jed,lc4032ze\orm\glb1\mc3\o7.jed
89:18,0,1,0,1,0,1,0,1
90:18,0,0,1,1,0,0,1,1
91:18,0,0,0,0,1,1,1,1
