fuse,lc4032ze\grp\gi1\glb0\fb_A3.jed,lc4032ze\grp\gi1\glb0\fb_A11.jed,lc4032ze\grp\gi1\glb0\fb_A15.jed,lc4032ze\grp\gi1\glb0\pin_4.jed,lc4032ze\grp\gi1\glb0\pin_14.jed,lc4032ze\grp\gi1\glb0\pin_34.jed
2:86,1,1,1,1,0,1
2:87,1,1,0,1,1,1
2:88,1,0,1,1,1,1
3:86,1,1,1,1,1,0
3:87,1,1,1,0,1,1
3:88,0,1,1,1,1,1
