fuse,lc4032ze\clk_mux\glb0\mc8\bclk0.jed,lc4032ze\clk_mux\glb0\mc8\bclk1.jed,lc4032ze\clk_mux\glb0\mc8\bclk2.jed,lc4032ze\clk_mux\glb0\mc8\bclk3.jed,lc4032ze\clk_mux\glb0\mc8\pt.jed,lc4032ze\clk_mux\glb0\mc8\npt.jed,lc4032ze\clk_mux\glb0\mc8\shared_pt.jed,lc4032ze\clk_mux\glb0\mc8\gnd.jed
76:133,0,1,0,1,0,1,0,1
77:133,0,0,1,1,0,0,1,1
81:133,0,0,0,0,1,1,1,1
