fuse,lc4032ze\clk_mux\glb0\mc10\bclk0.jed,lc4032ze\clk_mux\glb0\mc10\bclk1.jed,lc4032ze\clk_mux\glb0\mc10\bclk2.jed,lc4032ze\clk_mux\glb0\mc10\bclk3.jed,lc4032ze\clk_mux\glb0\mc10\pt.jed,lc4032ze\clk_mux\glb0\mc10\npt.jed,lc4032ze\clk_mux\glb0\mc10\shared_pt.jed,lc4032ze\clk_mux\glb0\mc10\gnd.jed
76:143,0,1,0,1,0,1,0,1
77:143,0,0,1,1,0,0,1,1
81:143,0,0,0,0,1,1,1,1
