fuse,lc4032ze\clk_mux\glb0\mc13\bclk0.jed,lc4032ze\clk_mux\glb0\mc13\bclk1.jed,lc4032ze\clk_mux\glb0\mc13\bclk2.jed,lc4032ze\clk_mux\glb0\mc13\bclk3.jed,lc4032ze\clk_mux\glb0\mc13\pt.jed,lc4032ze\clk_mux\glb0\mc13\npt.jed,lc4032ze\clk_mux\glb0\mc13\shared_pt.jed,lc4032ze\clk_mux\glb0\mc13\gnd.jed
76:154,0,1,0,1,0,1,0,1
77:154,0,0,1,1,0,0,1,1
81:154,0,0,0,0,1,1,1,1
